profile,scenario,quota_state,order_state,fill_count,position_state,health,run_hash,ledger_events
PLAN_CREATED,IMMEDIATE_FILL,CONSUMED,FILLED,1,OPEN,READY,12c48ee8a8b1b66abcfa2faa2d4d265e434fbbc98d2aa19d8b747b4e12128980,10
PLAN_CREATED,REJECT_AT_ATTEMPT,CONSUMED,REJECTED,0,,DEGRADED,7f6229c372b2b40ef42d54ce04da53cb17685d01225979eedc6b102a503cfdf4,7
PLAN_CREATED,ACCEPT_THEN_CANCEL,CONSUMED,CANCELLED,0,,DEGRADED,e3f797962572fc8e43f725853a7f80fee9db53470406b36e70fcd61686e16c12,8
PLAN_CREATED,PARTIAL_THEN_FILL,CONSUMED,FILLED,2,OPEN,READY,4426d93f5aeafd59b042052a815dd6820ebd2f223c1e117dfae4c9e151631439,11
PLAN_CREATED,QUOTE_UNAVAILABLE,CONSUMED,,0,,DEGRADED,cda0837420e4513a9e9ef91cf4e00ac1249e40d349a59c69b79623f6b87f5c1a,3
PLAN_CREATED,GEOMETRY_DRIFT,CONSUMED,,0,,DEGRADED,52341bb03763dfef2e9e3a5856d690ef3032eec31eb6526dcfd73bbfadac6136,3
ORDER_ATTEMPTED,IMMEDIATE_FILL,CONSUMED,FILLED,1,OPEN,READY,7f35a8812de85cf5f5a2544de59249cdf15d86f7224f602924be205238160a06,10
ORDER_ATTEMPTED,REJECT_AT_ATTEMPT,CONSUMED,REJECTED,0,,DEGRADED,06ec32f5de1f75aba3052932bb01de670c9b71a55d4af23752d7bcb0a83c5eb1,7
ORDER_ATTEMPTED,ACCEPT_THEN_CANCEL,CONSUMED,CANCELLED,0,,DEGRADED,fd5d983ac9a884e077110faa850b3df055472763e4ea179b3e8e591b2f23827f,8
ORDER_ATTEMPTED,PARTIAL_THEN_FILL,CONSUMED,FILLED,2,OPEN,READY,633c51ec271f2322118683c684fbcc2cd087348d6726d8717cfb1fb4442f328c,11
ORDER_ATTEMPTED,QUOTE_UNAVAILABLE,RELEASED,,0,,DEGRADED,2f61d7274a9d9090fbeb6c83dcaecd97fabd72a621ec1a403f1147210744ee3f,3
ORDER_ATTEMPTED,GEOMETRY_DRIFT,RELEASED,,0,,DEGRADED,8bd3971bdc83b63d9322cde15cdf171d830c92d26f60fcc5348c3c82fcf1a033,3
ORDER_ACCEPTED,IMMEDIATE_FILL,CONSUMED,FILLED,1,OPEN,READY,e490e293bca57668964d3274c5a1edb2d2501dc10f45acffcdbbd7a8dd7a5f72,10
ORDER_ACCEPTED,REJECT_AT_ATTEMPT,RELEASED,REJECTED,0,,DEGRADED,ccdeef6a178025b949c3284fac410d50278b0bd4f553837cb1f3edbebc8f35d6,7
ORDER_ACCEPTED,ACCEPT_THEN_CANCEL,CONSUMED,CANCELLED,0,,DEGRADED,caba3c873cb9bc313a15ed11946b85e1fc8382137df297613479799a40743153,8
ORDER_ACCEPTED,PARTIAL_THEN_FILL,CONSUMED,FILLED,2,OPEN,READY,427b436b94e390a31aa8b64ae30d336c567c002a7364e30cb556daa28605b513,11
ORDER_ACCEPTED,QUOTE_UNAVAILABLE,RELEASED,,0,,DEGRADED,9d2c34b5b9d8159d3f319bc23a09f1512d97b1876eaeb740a03b0a4a33f584c0,3
ORDER_ACCEPTED,GEOMETRY_DRIFT,RELEASED,,0,,DEGRADED,b7abcd670f2d39f371081fdfcd28d0a32b7db04a33a7bf4c3b5bc5c296cf0ddc,3
FILLED,IMMEDIATE_FILL,CONSUMED,FILLED,1,OPEN,READY,c040d67ed124ad402ee1b9c095dedfefeadba9d4ef8f8853e716be46277a0730,10
FILLED,REJECT_AT_ATTEMPT,RELEASED,REJECTED,0,,DEGRADED,f7019bd0c2fc317a6cf392c418c234ab75e568d93efcc9c0f536e47cee2972db,7
FILLED,ACCEPT_THEN_CANCEL,RELEASED,CANCELLED,0,,DEGRADED,50817089553a58d4e792e9b17182d2a0c07e1f5d6993a1a955fbbe55cb2956f9,8
FILLED,PARTIAL_THEN_FILL,CONSUMED,FILLED,2,OPEN,READY,e0eb64eee1bccc2c9a6d24f620847e59c74c0c806b762c561f6448979209b1a9,11
FILLED,QUOTE_UNAVAILABLE,RELEASED,,0,,DEGRADED,5fc3a551bf1cade2ae46f64afdbb0d0c4087a59bf4d107d0840ffbc3dc7b57df,3
FILLED,GEOMETRY_DRIFT,RELEASED,,0,,DEGRADED,4a69258ed011974830a82344dfc9f4dd79942cfa0727f7d102145fa7e8782e19,3
TWO_STAGE_ACCEPTED,IMMEDIATE_FILL,CONSUMED,FILLED,1,OPEN,READY,aa9e5736d35d20a23647b3e584286cba18f4706b6c4010ff32b140b94aba904c,10
TWO_STAGE_ACCEPTED,REJECT_AT_ATTEMPT,RELEASED,REJECTED,0,,DEGRADED,d4e7ae5b4ff34cb63a6e6d40ba9df20472e63bfb74aaa8ce1849489d202d23f9,7
TWO_STAGE_ACCEPTED,ACCEPT_THEN_CANCEL,CONSUMED,CANCELLED,0,,DEGRADED,eb2df557e20d631de87be0ae4d4953f174c786a9b0a2eea8fdd6b9a194857721,8
TWO_STAGE_ACCEPTED,PARTIAL_THEN_FILL,CONSUMED,FILLED,2,OPEN,READY,2c49b4cc10b6d83f456c9eb690b431c6092066d256b29cb8e6eed346466fa3c7,11
TWO_STAGE_ACCEPTED,QUOTE_UNAVAILABLE,RELEASED,,0,,DEGRADED,62567ca34ca63801917639cdaac3afd7be5c967df6a66ba57928ade5fe436e19,3
TWO_STAGE_ACCEPTED,GEOMETRY_DRIFT,RELEASED,,0,,DEGRADED,5bb6d0f47c0c23d5946955d3abd4af532a2f522096807a9864d3f12fe2df8b05,3
TWO_STAGE_FILLED,IMMEDIATE_FILL,CONSUMED,FILLED,1,OPEN,READY,3a9127ae35e44578c58373eb1b7b21c5bb113f4896d1ad4147c54d146dea4118,10
TWO_STAGE_FILLED,REJECT_AT_ATTEMPT,RELEASED,REJECTED,0,,DEGRADED,0471c9388d943aa6031f75eb78e3b87b67bc7fae7547d12073ecbe0600df770a,7
TWO_STAGE_FILLED,ACCEPT_THEN_CANCEL,RELEASED,CANCELLED,0,,DEGRADED,d1da641a3f448bbc2f26308bd5f2fb161ee3e71b861f2f085d8cc07aa20a1cf7,8
TWO_STAGE_FILLED,PARTIAL_THEN_FILL,CONSUMED,FILLED,2,OPEN,READY,d7efa046f521d3f7983a73302a047c6a418b10211ecf54655c280cb4aa28309f,11
TWO_STAGE_FILLED,QUOTE_UNAVAILABLE,RELEASED,,0,,DEGRADED,a65fc97b6386fd9efca9063e86a5bf58776f5ae850e3f466f14f5331f6fd76ed,3
TWO_STAGE_FILLED,GEOMETRY_DRIFT,RELEASED,,0,,DEGRADED,a5d8369cc44111eb551bc0f35939e542eb49d91a8599b627af1e9b7589559af0,3
