portfolio_record_id,identity_id,family_candidate,semantic_name_candidate,source_artifact_path,source_artifact_sha256,source_language,granularity_class,risk_class,aggregate_risk_score,wave_assignment,identity_collision,protected_platform_asset,security_sensitive
CTXPORTREC_5E4EA2E5D75475BE6402F55ABFB39EAF,CTX_ASTRO_RESEARCH_EXECUTION_DAL_ASTRODOCTRINECONTEXT_8749C1D8_V1,ASTRO_RESEARCH_EXECUTION,DAL_ASTRODOCTRINECONTEXT,mql5/Include/Research/DAL_AstroDoctrineContext.mqh,sha256:88006191049cd80b1fc060798fbdc2f324c745028c890d252c06cc97a60127bd,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,36,WAVE_01_LOW_RISK_PILOT,false,false,false
CTXPORTREC_1ECCF5C439B7D5365EAA96BAE59F87C6,CTX_ASTRO_RESEARCH_EXECUTION_DAL_ASTROEXECUTIONSTATEMACHINE_AD983AAD_V1,ASTRO_RESEARCH_EXECUTION,DAL_ASTROEXECUTIONSTATEMACHINE,mql5/Include/Research/DAL_AstroExecutionStateMachine.mqh,sha256:fc80ace7d7674504ab32268d3647a65e5df6b7d24184ca08d14ee06e2fcf9e9a,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,36,WAVE_01_LOW_RISK_PILOT,false,false,false
CTXPORTREC_40A9BEA9E1F0EC494A28F27C7C7E6329,CTX_EXP0015_INTERMARKET_TIME_DAL_IMDENGINE_EE4C4557_V1,EXP0015_INTERMARKET_TIME,DAL_IMDENGINE,mql5/Include/IntermarketDivergence/DAL_IMDEngine.mqh,sha256:ec87cf08d5d50a106d6b2829e15426e570de2b8c00fe0af508e563b868c69535,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,47,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_BA13D77F5D085DDF3F928514646ED0FB,CTX_EXP0015_INTERMARKET_TIME_DAL_IMDJOURNAL_264AAC22_V1,EXP0015_INTERMARKET_TIME,DAL_IMDJOURNAL,mql5/Include/IntermarketDivergence/DAL_IMDJournal.mqh,sha256:174f0b40e7095cfd1108a242bc9f009e7ed8ab9435e02b5fb627240f21f28fc5,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,45,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_1DC2389525C9C56B7F2AFF39469C8CF2,CTX_EXP0015_INTERMARKET_TIME_DAL_IMDLEVELS_6623D305_V1,EXP0015_INTERMARKET_TIME,DAL_IMDLEVELS,mql5/Include/IntermarketDivergence/DAL_IMDLevels.mqh,sha256:85f0ddbbf8cfc12b3f96ace8b5cda769613d11eb667ee723ae4f5e4fec4db0bb,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,48,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_60F03E3DFD5478CF5A623D13C05932C9,CTX_EXP0015_INTERMARKET_TIME_DAL_IMDSERIES_37742F2E_V1,EXP0015_INTERMARKET_TIME,DAL_IMDSERIES,mql5/Include/IntermarketDivergence/DAL_IMDSeries.mqh,sha256:821e00e551dcc013cdca110ad7645645b5cb5a66a89389729f84d5613cadaa71,MQL5,EMBEDDED_CONTEXT_FRAGMENT,HIGH,69,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_916A48C3ABC90CB8798227683D8BC4AE,CTX_EXP0015_INTERMARKET_TIME_DAL_IMDTYPES_AB975835_V1,EXP0015_INTERMARKET_TIME,DAL_IMDTYPES,mql5/Include/IntermarketDivergence/DAL_IMDTypes.mqh,sha256:7387f7cfe8ddb6549a65493db1c37cc8cb3d503c1363869e6c658fa1ae7d743e,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,48,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_087AE2D099FCB32882A7E3D433F59F96,CTX_EXP0015_INTERMARKET_TIME_EXPERIMENT_3CD87586_V1,EXP0015_INTERMARKET_TIME,EXPERIMENT,lab/03_experiments/EXP0015_intermarket_time_divergence/experiment.py,sha256:99e5e03a4bf30a2ab94949e2ddc6cdc1d067f0441d25dbe0dc8a138026a9bd2f,PYTHON,PACKAGE_CONTEXT,HIGH,58,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_9D0427AF669772A5F63A6ED5A32D4884,CTX_EXP0015_INTERMARKET_TIME_IMD001_CANDLESESSIONDIVERGENCE_1A976C20_V1,EXP0015_INTERMARKET_TIME,IMD001_CANDLESESSIONDIVERGENCE,mql5/Experts/IntermarketDivergence/IMD001_CandleSessionDivergence.mq5,sha256:655dd06559e6814a4b329a105a8c00b4756876bc16dd0c167cbfdeb3cc946c5f,MQL5,COMPOSITE_CONTEXT_SHELL,HIGH,59,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_FEA42995D7F271FF4A2DEBBBDAD355B8,CTX_EXP0015_INTERMARKET_TIME_IMD001_SPX_NDX_TIMEDIVERGENCE_CB31FEAE_V1,EXP0015_INTERMARKET_TIME,IMD001_SPX_NDX_TIMEDIVERGENCE,mql5/Experts/IntermarketDivergence/IMD001_SPX_NDX_TimeDivergence.mq5,sha256:1499d52168cdbca812428044235ff0b4a202d8b2863a4438e1fdf561512d285c,MQL5,COMPOSITE_CONTEXT_SHELL,HIGH,60,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_25DDC06DDD2110FAC90F5E845517F263,CTX_EXP0017_CYCLE_GROUP_CGC_DISPLAY_13FC5853_V1,EXP0017_CYCLE_GROUP,CGC_DISPLAY,mql5/Include/IntermarketDivergenceExecution/CG/CGC_Display.mqh,sha256:39505fd0cff941dd436362885fd1dcd36b8511118880a17e65a80e8272f82c06,MQL5,EMBEDDED_CONTEXT_FRAGMENT,HIGH,63,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_DF159D1A5ECE4DFAA776B337CC22479D,CTX_EXP0017_CYCLE_GROUP_CGC_TYPES_FBB19C0E_V1,EXP0017_CYCLE_GROUP,CGC_TYPES,mql5/Include/IntermarketDivergenceExecution/CG/CGC_Types.mqh,sha256:f5deec89c13112fb6d4ea39158b6ff994c435afac3a19d6f8275d4b368dd9292,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,51,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
CTXPORTREC_2CA3E3D3A29156FD0DF7CCFC5F17137C,CTX_EXP0017_CYCLE_GROUP_CGD_DISPLAY_98872046_V1,EXP0017_CYCLE_GROUP,CGD_DISPLAY,mql5/Include/IntermarketDivergenceExecution/CG/CGD_Display.mqh,sha256:3214dd839246777097ecde4d7143ba167084c799182d2dd4bbc50da24c85c94b,MQL5,EMBEDDED_CONTEXT_FRAGMENT,MODERATE,51,WAVE_03_EXP0015_EXP0016_EXP0017,false,false,false
