identity_id,wave_assignment,final_disposition,canonical_package_root,cutover_ready,consumer_cutover_performed,packet_digest
CTX_ASTRO_RESEARCH_EXECUTION_DAL_ASTRODOCTRINECONTEXT_8749C1D8_V1,WAVE_01_LOW_RISK_PILOT,BLOCKED,,false,false,sha256:0354e031e6647204a784dd33f654ce2384ac7d42de114c130997a3af1f858a88
CTX_ASTRO_RESEARCH_EXECUTION_DAL_ASTROEXECUTIONSTATEMACHINE_AD983AAD_V1,WAVE_01_LOW_RISK_PILOT,BLOCKED,,false,false,sha256:343521dd60f9687ffa02bb670f1a52fd9ad18076d838eb2ebc5a14a2ec7a1519
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDENGINE_EE4C4557_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:bb7959021906a20e3f94dc58f6fc881ba313c0a170403e59f49cba04df80076c
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDJOURNAL_264AAC22_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:b2d1e1ebdb5a41727d5696fc2c25557280d0cf6aa840fad96670a25264e417d8
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDLEVELS_6623D305_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:5cdd726ad8cfccab45bc4d9a4c2104f54542b269d4c38bbe8b44d4a6f3934e03
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDSERIES_37742F2E_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:9795e254122a7feb3bf6a462b06216fa320c43b8c0628562b3c6961ca97b4b42
CTX_EXP0015_INTERMARKET_TIME_DAL_IMDTYPES_AB975835_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:4141c1e323fbd4b446edbff99bfd4c2a8c4ac9bd106f27d187b250827b6da0be
CTX_EXP0015_INTERMARKET_TIME_EXPERIMENT_3CD87586_V1,WAVE_03_EXP0015_EXP0016_EXP0017,MIGRATED_CUTOVER_READY,lab/11_strategy_factory/contexts/CTX_EXP0015_INTERMARKET_TIME_EXPERIMENT_3CD87586_V1,true,false,sha256:30dd6280e2582c09a3bd4148a5346de7dafb434b67da620a53b5e23110ef2e00
CTX_EXP0015_INTERMARKET_TIME_IMD001_CANDLESESSIONDIVERGENCE_1A976C20_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:bb10435813462a38bd8c28b7c89cb3443aaf10ee001bad07389dd37256cbcb16
CTX_EXP0015_INTERMARKET_TIME_IMD001_SPX_NDX_TIMEDIVERGENCE_CB31FEAE_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:40ab368e1ffa6bf0fc227ae09b0d562a21261474ce2645e09372de9c5c907836
CTX_EXP0017_CYCLE_GROUP_CGC_DISPLAY_13FC5853_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:e246247ebac8fa703834c94e4865ef3622ef0189739ba8df7b1f169b458e5bff
CTX_EXP0017_CYCLE_GROUP_CGC_TYPES_FBB19C0E_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:d577cfc0291c4efd9cfeed85345f81cd26cd4efa1120037a15ade63c0654ae6f
CTX_EXP0017_CYCLE_GROUP_CGD_DISPLAY_98872046_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:3f2edc910923e04a497bf2f44e12f8e8745fc297f55def9ded5098cbb7cf551f
CTX_EXP0017_CYCLE_GROUP_CGD_DIVERGENCEFIELD_D716A54C_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:baecee799a5af75b00b873f055b048fcfe76d0d8ddd3178801350d880893ec8c
CTX_EXP0017_CYCLE_GROUP_CGD_ENGINE_281006BE_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:23cef9ea3e4fc5844fc654e61b6e7b686fea807e333610465f7ebd284c07c401
CTX_EXP0017_CYCLE_GROUP_CGD_TYPES_843D8CF4_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:c55d98ed4f9295f26bc975d1de81f3760795f4722f962deae5583b55d7d44b2e
CTX_EXP0017_CYCLE_GROUP_CGH_DISPLAY_1C918126_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:ce73bf53213158b16db0803bf8ebc4e94db2e4455f7e114f217442b0540a47f8
CTX_EXP0017_CYCLE_GROUP_CGH_ENGINE_5C19C24B_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:e1cf08eff3218a00abed81937180f0e94b4498e8a265dc499ed3efe0e70fd149
CTX_EXP0017_CYCLE_GROUP_CGH_HUNTFIELD_D8A7DD22_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:7f4130d174b4685146176a8086df276047c151a32ae42af5dc55e6952bf6d7a6
CTX_EXP0017_CYCLE_GROUP_CGH_TYPES_A46AD56C_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:4fad629417d6f3d1b137e407674f0bbc87e0fe561a6907b74a23eefc005a8a50
CTX_EXP0017_CYCLE_GROUP_CGM_CSVREADER_4BE18322_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:979b33cf598aec84390453263e8de853ce172a1b1d77d93a118b6c08779a9858
CTX_EXP0017_CYCLE_GROUP_CGM_DISPLAY_438ADA17_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:6c89e4230517ab9b6a0c3beea24328e7cda4416d35b788393d0e2aec2ba635b4
CTX_EXP0017_CYCLE_GROUP_CGM_ENGINE_D6738B94_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:10487d2c2677398bb33a4db1eba99bafde3f8437aca6847e4ce21cdb714dc1de
CTX_EXP0017_CYCLE_GROUP_CGM_FEATUREBUILDER_28571F32_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:684d0a559d99d33463028949cba198ca6340f1de7e029a7cac40ee24a4d646ac
CTX_EXP0017_CYCLE_GROUP_CGM_LEDGER_46D6FE5E_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:f603f1060f38acecd6668bb986d7008475d6fbb84cb5c14aa54fd95937edf336
CTX_EXP0017_CYCLE_GROUP_CGM_TYPES_F4CD0268_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:048aa41ac2ce159bf9496ad964914f11beeca25467843554459714f750043ca4
CTX_EXP0017_CYCLE_GROUP_CGO_DISPLAY_038F1EB0_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:a8e95b7bb3c9e127c17098b1f2915163692b2758a587e717202311bd8d1aa027
CTX_EXP0017_CYCLE_GROUP_CGO_ENGINE_992F91C2_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:0720b38cddc8902a27b74fb6073e22abedc1f287ffc662bfb28b632baae84169
CTX_EXP0017_CYCLE_GROUP_CGO_LEDGER_B8F75E3C_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:fa320ce45728cb1235726a805fd83163bfa26f15b2c00a46147414483816e6f3
CTX_EXP0017_CYCLE_GROUP_CGO_OUTCOMEFIELD_90DCB505_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:34a912252f9c3bc76f41faf8ea804a40dc7c191ff5556d418127cebf6bd24791
CTX_EXP0017_CYCLE_GROUP_CGO_TYPES_953F33DE_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:f5e2f912a7f73db169831972884b031fe98802cbb941547f531f222e48b54c6b
CTX_EXP0017_CYCLE_GROUP_CGP12_DISPLAY_D6FDF27C_V1,WAVE_03_EXP0015_EXP0016_EXP0017,BLOCKED,,false,false,sha256:50d74acc2e3c767af3da58927512c1de067a0bd611940940548fa7e615f22aa3
