identity_id,identity_kind,source_artifact_path,source_artifact_sha256,target_package_root,target_layer,canonical_path_materialized,owner_resolution_status,identity_status,protected_platform_asset,security_sensitive,materialization_status,mapping_digest
ENG_DOCUMENTATION_OTHER_VALIDATE_VAULT_EFF4CF7E_V1,ENGINE,docs/ai_algorithm_engineering_os/tools/validate_vault.py,sha256:51f47c0ed9375ed0720d77b490953090ce05aa595080bcf05531a6abacd64694,lab/11_strategy_factory/shared_engines/ENG_DOCUMENTATION_OTHER_VALIDATE_VAULT_EFF4CF7E_V1,SHARED_ENGINE,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,SECURITY_REVIEW_BLOCKED,False,True,BLOCKED_SECURITY_REVIEW,sha256:b5020737b22a0c00677ea7d6d9d4c7eea950bd29db21cbbf576bf7d11b17fc0b
ENG_DOCUMENTATION_OTHER_VALIDATE_VAULT_2D9D6666_V1,ENGINE,docs/alpha_lab_master_architecture/ai_algorithm_engineering_os/tools/validate_vault.py,sha256:51f47c0ed9375ed0720d77b490953090ce05aa595080bcf05531a6abacd64694,lab/11_strategy_factory/shared_engines/ENG_DOCUMENTATION_OTHER_VALIDATE_VAULT_2D9D6666_V1,SHARED_ENGINE,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,SECURITY_REVIEW_BLOCKED,False,True,BLOCKED_SECURITY_REVIEW,sha256:095c950f92e22b834c2fa6257937dfab53cec24ac5cf9746bd3071a7554c0119
CTX_EXP0015_INTERMARKET_TIME_EXPERIMENT_3CD87586_V1,CONTEXT,lab/03_experiments/EXP0015_intermarket_time_divergence/experiment.py,sha256:99e5e03a4bf30a2ab94949e2ddc6cdc1d067f0441d25dbe0dc8a138026a9bd2f,lab/11_strategy_factory/contexts/CTX_EXP0015_INTERMARKET_TIME_EXPERIMENT_3CD87586_V1,CONTEXT,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:37e5c73ee745552e6c48aa540bcd7d05c5a9e84bc2363cd4c40c05032fdd6ca0
ENG_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE01_TIME_KERNEL_V2_CD2BBD53_V1,ENGINE,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase01_time_kernel_v2.py,sha256:37229d46030687e2c3b01b847f619495c5aac83d480f74950a4d3d754d114a1d,lab/11_strategy_factory/shared_engines/ENG_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE01_TIME_KE__EE33952CED30,SHARED_ENGINE,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:9314cd362db1a45a30dca907d00b886ef18ab816b62b7902fbb91ef5b4d43212
CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE05_HUNT_OBSERVATIO_F70B4D51_V1,CONTEXT,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase05_hunt_observation_v2.py,sha256:a6cfea65494bdd940d1b989b536f711cea673bc46430c0270269818cfedabe8a,lab/11_strategy_factory/contexts/CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE05_HUNT_OB__E5D971BBB821,CONTEXT,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:82cf7ffe25381d3178f9f9941df37bb9c23657a3894758929d33915f98923981
STP_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE06_CLOSE_CONFIRMAT_0FFF8052_V1,SETUP,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase06_close_confirmation_v2.py,sha256:ea00eab9fcaa7bf1dd3fff3c29fb9e190b19d4b7f95c133ff31a2705cbbdd8f6,lab/11_strategy_factory/setups/STP_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE06_CLOSE_C__D38865C2638F,SETUP,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:2eecee2f4e3bfb2f80d01d6ed6203cbc60f4439078141a353b86b3647c13009e
CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE07_REFERENCE_LIFEC_8AAFFDEC_V1,CONTEXT,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase07_reference_lifecycle_v2.py,sha256:51377752ccaae5c356e4f8c9ea21a5aeffaf9b0951e4750b897b9f40a17b8fda,lab/11_strategy_factory/contexts/CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE07_REFEREN__073C25CF358D,CONTEXT,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:f3f52fb960b86953a290b4747b04fdf22cb35aca32089b4954d97525ccd55d4a
CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE08_DIVERGENCE_DRAW_CD61590F_V1,CONTEXT,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase08_divergence_drawing_v2.py,sha256:183c8c4844ec55946bcfc244b500b0722d7efc0cddcb5c2c553e50728cb03e0a,lab/11_strategy_factory/contexts/CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE08_DIVERGE__B7C175BF5388,CONTEXT,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:155cb5bcbd01f5bcd50eb90d66a041617b0be6a06ab1e327c68f80b9222db265
CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE09_SESSION_BOXES_V_6C399DC1_V1,CONTEXT,lab/10_infrastructure/EXP0018_daye_trader/tools/validate_exp0018_phase09_session_boxes_v2.py,sha256:c544d5b82d5db47fc7fc5ceb42e533f1fa5f4651f43e5d6c5004808d5c86c546,lab/11_strategy_factory/contexts/CTX_EXP0018_DAYE_TRADER_VALIDATE_EXP0018_PHASE09_SESSION__5A209A7CD9DD,CONTEXT,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:56d558d562be5ce90fc6dd63139fa02663d7cecdc79825325db642f6d5a099d6
ADP_EXP0019_FAERIE_PROTOCOL_ADAPTERS_CE55E74E_V1,ADAPTER,lab/10_infrastructure/EXP0019_faerie_protocol/phase_i01/python/fp_i01_compatibility/adapters.py,sha256:8924d04002fbf75c1664d8d439ab31957254677fd5d62a7055dca56df83c0c5c,lab/11_strategy_factory/adapters/ADP_EXP0019_FAERIE_PROTOCOL_ADAPTERS_CE55E74E_V1,PLATFORM_ADAPTER,False,ROLE_BOUND_HUMAN_ASSIGNEE_PENDING,PROVISIONAL_UNMERGED_IDENTITY_CANDIDATE,False,False,BLOCKED_OWNER_APPROVAL,sha256:a65aff427947576fbe27effa342aec346346e323b9ce38a0d38f32b67723dc58
