classification_id,artifact_path,authority_surfaces,capability_kinds,security_sensitive,primary_disposition,security_reviewer_role,security_review_status,risk_indicator_only,live_authority_inferred,runtime_authorized,live_order_authorized,capital_authorized,record_digest
ARTCLS_BF2260D6D2317D00DC6E7BB48DBAD137,docs/ai_algorithm_engineering_os/tools/new_patch_packet.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,ARCHIVE_REFERENCE_ONLY,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:2fe76a39c3fca2d197fd3d51df3cf765750e67e3dd0a09640523376a15fd6f36
ARTCLS_EFF4CF7EC2D2C2D63FB3C3147F7BD837,docs/ai_algorithm_engineering_os/tools/validate_vault.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""DYNAMIC_COMPILE"",""FILE_MUTATION""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:2a3d96ea013130ce79eefa4fbeb5de0770ec9d09f5eb6bd632db147496a03183
ARTCLS_93F4082A1194F39477B3992031A5185C,docs/alpha_lab_master_architecture/ai_algorithm_engineering_os/tools/new_patch_packet.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,ARCHIVE_REFERENCE_ONLY,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:a102964cece4417cf2134c54706c534d8206dfd6022ecb7b6d7203b8b547e9e5
ARTCLS_2D9D66662F3E5061A8A0B1EDC769998F,docs/alpha_lab_master_architecture/ai_algorithm_engineering_os/tools/validate_vault.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""DYNAMIC_COMPILE"",""FILE_MUTATION""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:f90fcb380df239cec967c7a904822de4a29f0bd666975388f9b77590022a08ed
ARTCLS_3CD8758644B84FD94077BBFBE2634240,lab/03_experiments/EXP0015_intermarket_time_divergence/experiment.py,"[""FILE_PERSISTENCE""]","[""FILE_MUTATION""]",false,WRAP_LEGACY,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:747c2e112abed8cc15bc644f8a63c8f8e4cfcef014daa606299850e84c01527d
ARTCLS_DD16BC0426A9AA8705EBDDD3D30246FD,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase00_doctrine_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:3dc4181868dcc895bacf9495ddb748f35bb9e82213c8e6a92defbcd2bd63e18f
ARTCLS_0DBC67D805414FA305F2D129656BEF45,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase01_time_kernel_v2.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""DYNAMIC_IMPORT"",""FILE_MUTATION""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:b820c7123d7d04b09c83751d14eebaf1f223eeb74c5805582c9e7991045228ff
ARTCLS_DA4DDF7C3B46BCC2DB1084077BF27553,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase03_period_aggregation_v2.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""FILE_IO"",""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:8d5b71ae9e82f56ad3e1f81f5a47a0b5def33b91781bcecec97a55fb6ae49443
ARTCLS_631B2D8D60EFE56311F913CD3E2A8709,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase04_relationship_registry_v2.py,"[""FILE_PERSISTENCE""]","[""FILE_IO""]",false,MOVE_WITHOUT_SEMANTIC_CHANGE,,NOT_REQUIRED_BY_STATIC_POLICY,true,false,false,false,false,sha256:7238f77b7a0962decba297d928aa32a5d8a12ef4e255222f4e2e6765e36f061f
ARTCLS_87F88FBBC971ED01C8EC46420715D9CA,lab/10_infrastructure/EXP0018_daye_trader/tests/test_exp0018_phase05_hunt_observation_v2.py,"[""DYNAMIC_CODE"",""FILE_PERSISTENCE""]","[""FILE_IO"",""SUBPROCESS""]",true,SECURITY_RESTRICTED,SECURITY_REVIEWER,PENDING_HUMAN_REVIEW,true,false,false,false,false,sha256:c0b4f589ce4c34f3c069c4ca8cef9ce5203384aa5288214ef4d9c54b9a0e297d
