family,artifact_count,role_counts,disposition_counts,activity_counts,security_sensitive_count,protected_platform_count,unknown_role_count,human_owner_approval_complete
ACL_OS_PLATFORM,4637,"{""GENERATED_PROJECTION"":2546,""PLATFORM_KERNEL"":1136,""RELEASE_METADATA"":3,""TEST_CODE"":141,""TEST_FIXTURE"":811}","{""ARCHIVE_REFERENCE_ONLY"":2549,""KEEP_CANONICAL"":2036,""SECURITY_RESTRICTED"":52}","{""ACTIVE_PLATFORM"":426,""GENERATED"":2546,""RELEASE_HISTORY"":3,""TEST_ONLY"":952,""UNKNOWN_ACTIVITY"":710}",52,4637,0,false
ASTRO_RESEARCH_EXECUTION,280,"{""CONFIGURATION_CONTRACT"":3,""CONTEXT"":3,""DOCUMENTATION"":112,""EXECUTION_ADAPTER"":1,""GENERATED_PROJECTION"":59,""PLATFORM_ADAPTER"":2,""RESEARCH"":30,""SETUP"":3,""SOURCE_EVIDENCE"":6,""TREATMENT"":6,""UNKNOWN_ROLE"":52,""VISUALIZER"":3}","{""ARCHIVE_REFERENCE_ONLY"":59,""MERGE_AFTER_EQUIVALENCE_PROOF"":5,""MOVE_WITHOUT_SEMANTIC_CHANGE"":119,""QUARANTINE_UNCERTAIN"":64,""REWRITE_WITH_PARITY"":12,""SECURITY_RESTRICTED"":7,""WRAP_LEGACY"":14}","{""ACTIVE_RESEARCH"":42,""ACTIVE_RUNTIME_CANDIDATE"":17,""CONFIGURATION"":3,""DOCUMENTATION_ONLY"":118,""GENERATED"":59,""UNKNOWN_ACTIVITY"":41}",7,0,52,false
DOCUMENTATION_OTHER,14831,"{""CONFIGURATION_CONTRACT"":373,""DOCUMENTATION"":12861,""GENERATED_PROJECTION"":1310,""RELEASE_METADATA"":17,""SETUP"":4,""SHARED_PRIMITIVE"":2,""SOURCE_EVIDENCE"":246,""TEST_CODE"":1,""TREATMENT"":1,""UNKNOWN_ROLE"":16}","{""ARCHIVE_REFERENCE_ONLY"":1327,""MERGE_AFTER_EQUIVALENCE_PROOF"":1944,""MOVE_WITHOUT_SEMANTIC_CHANGE"":11543,""QUARANTINE_UNCERTAIN"":15,""SECURITY_RESTRICTED"":2}","{""ACTIVE_RESEARCH"":2,""CONFIGURATION"":373,""DOCUMENTATION_ONLY"":13107,""GENERATED"":1310,""RELEASE_HISTORY"":17,""TEST_ONLY"":1,""UNKNOWN_ACTIVITY"":21}",2,0,16,false
EXECUTION_E_SERIES,41,"{""DOCUMENTATION"":5,""EXECUTION_ADAPTER"":36}","{""MERGE_AFTER_EQUIVALENCE_PROOF"":1,""MOVE_WITHOUT_SEMANTIC_CHANGE"":4,""QUARANTINE_UNCERTAIN"":1,""REWRITE_WITH_PARITY"":7,""SECURITY_RESTRICTED"":15,""WRAP_LEGACY"":13}","{""ACTIVE_RESEARCH"":25,""ACTIVE_RUNTIME_CANDIDATE"":10,""DOCUMENTATION_ONLY"":5,""UNKNOWN_ACTIVITY"":1}",15,0,0,false
EXP0015_INTERMARKET_TIME,26,"{""CONTEXT"":10,""DOCUMENTATION"":11,""GENERATED_PROJECTION"":5}","{""ARCHIVE_REFERENCE_ONLY"":5,""MOVE_WITHOUT_SEMANTIC_CHANGE"":11,""QUARANTINE_UNCERTAIN"":2,""REWRITE_WITH_PARITY"":6,""WRAP_LEGACY"":2}","{""ACTIVE_RESEARCH"":6,""ACTIVE_RUNTIME_CANDIDATE"":2,""DOCUMENTATION_ONLY"":11,""GENERATED"":5,""UNKNOWN_ACTIVITY"":2}",0,0,0,false
EXP0016_INTERMARKET_EXECUTION,277,"{""DOCUMENTATION"":162,""EXECUTION_ADAPTER"":30,""GENERATED_PROJECTION"":81,""SOURCE_EVIDENCE"":4}","{""ARCHIVE_REFERENCE_ONLY"":81,""MERGE_AFTER_EQUIVALENCE_PROOF"":4,""MOVE_WITHOUT_SEMANTIC_CHANGE"":162,""QUARANTINE_UNCERTAIN"":1,""REWRITE_WITH_PARITY"":13,""SECURITY_RESTRICTED"":4,""WRAP_LEGACY"":12}","{""ACTIVE_RESEARCH"":28,""ACTIVE_RUNTIME_CANDIDATE"":1,""DOCUMENTATION_ONLY"":166,""GENERATED"":81,""UNKNOWN_ACTIVITY"":1}",4,0,0,false
EXP0017_CYCLE_GROUP,1118,"{""CONTEXT"":80,""DIAGNOSTIC"":12,""DOCUMENTATION"":750,""EXECUTION_ADAPTER"":1,""GENERATED_PROJECTION"":61,""RELEASE_METADATA"":1,""SETUP"":3,""SOURCE_EVIDENCE"":203,""TREATMENT"":5,""VISUALIZER"":2}","{""ARCHIVE_REFERENCE_ONLY"":62,""MERGE_AFTER_EQUIVALENCE_PROOF"":51,""MOVE_WITHOUT_SEMANTIC_CHANGE"":902,""QUARANTINE_UNCERTAIN"":1,""REWRITE_WITH_PARITY"":40,""SECURITY_RESTRICTED"":1,""WRAP_LEGACY"":61}","{""ACTIVE_RESEARCH"":88,""ACTIVE_RUNTIME_CANDIDATE"":14,""DOCUMENTATION_ONLY"":953,""GENERATED"":61,""RELEASE_HISTORY"":1,""UNKNOWN_ACTIVITY"":1}",1,0,0,false
EXP0018_DAYE_TRADER,1543,"{""CONFIGURATION_CONTRACT"":14,""CONTEXT"":50,""DIAGNOSTIC"":21,""DOCUMENTATION"":789,""GENERATED_PROJECTION"":274,""SETUP"":10,""SHARED_PRIMITIVE"":7,""SOURCE_EVIDENCE"":283,""TEST_CODE"":14,""TEST_FIXTURE"":12,""UNKNOWN_ROLE"":64,""VISUALIZER"":5}","{""ARCHIVE_REFERENCE_ONLY"":274,""EXTRACT_SHARED_LOGIC"":7,""MERGE_AFTER_EQUIVALENCE_PROOF"":2,""MOVE_WITHOUT_SEMANTIC_CHANGE"":1105,""QUARANTINE_UNCERTAIN"":84,""REWRITE_WITH_PARITY"":29,""SECURITY_RESTRICTED"":7,""WRAP_LEGACY"":35}","{""ACTIVE_RESEARCH"":114,""ACTIVE_RUNTIME_CANDIDATE"":11,""CONFIGURATION"":14,""DOCUMENTATION_ONLY"":1072,""GENERATED"":274,""TEST_ONLY"":26,""UNKNOWN_ACTIVITY"":32}",7,0,64,false
EXP0019_FAERIE_PROTOCOL,2330,"{""CONFIGURATION_CONTRACT"":402,""CONTEXT"":20,""DIAGNOSTIC"":58,""DOCUMENTATION"":1048,""GENERATED_PROJECTION"":29,""PLATFORM_ADAPTER"":29,""RELEASE_METADATA"":2,""RESEARCH"":1,""SETUP"":27,""SHARED_PRIMITIVE"":29,""SOURCE_EVIDENCE"":18,""TEST_CODE"":252,""TREATMENT"":2,""UNKNOWN_ROLE"":403,""VISUALIZER"":10}","{""ARCHIVE_REFERENCE_ONLY"":31,""EXTRACT_SHARED_LOGIC"":26,""MERGE_AFTER_EQUIVALENCE_PROOF"":5,""MOVE_WITHOUT_SEMANTIC_CHANGE"":1709,""QUARANTINE_UNCERTAIN"":435,""REWRITE_WITH_PARITY"":11,""SECURITY_RESTRICTED"":19,""WRAP_LEGACY"":94}","{""ACTIVE_RESEARCH"":452,""ACTIVE_RUNTIME_CANDIDATE"":27,""CONFIGURATION"":402,""DOCUMENTATION_ONLY"":1066,""GENERATED"":29,""RELEASE_HISTORY"":2,""TEST_ONLY"":252,""UNKNOWN_ACTIVITY"":100}",19,0,403,false
FLAG_COUNTING_NDS_HOOK_ZONE,1462,"{""CONFIGURATION_CONTRACT"":5,""CONTEXT"":238,""DOCUMENTATION"":871,""EXECUTION_ADAPTER"":15,""GENERATED_PROJECTION"":235,""RELEASE_METADATA"":23,""SETUP"":2,""SOURCE_EVIDENCE"":44,""TEST_CODE"":5,""TREATMENT"":12,""VISUALIZER"":12}","{""ARCHIVE_REFERENCE_ONLY"":258,""MERGE_AFTER_EQUIVALENCE_PROOF"":11,""MOVE_WITHOUT_SEMANTIC_CHANGE"":914,""QUARANTINE_UNCERTAIN"":47,""REWRITE_WITH_PARITY"":61,""SECURITY_RESTRICTED"":21,""WRAP_LEGACY"":150}","{""ACTIVE_RESEARCH"":226,""ACTIVE_RUNTIME_CANDIDATE"":6,""CONFIGURATION"":5,""DOCUMENTATION_ONLY"":915,""GENERATED"":235,""RELEASE_HISTORY"":23,""TEST_ONLY"":5,""UNKNOWN_ACTIVITY"":47}",21,0,0,false
