source_path,edge_type,raw_target,line_number,resolution_status,resolved_path,resolution_candidates,resolution_candidate_count,semantic_reachability_claimed
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00All.mqh,MQL5_INCLUDE,ACL00Enums.mqh,3,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00Enums.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00Enums.mqh"",""ACL00Enums.mqh"",""mql5/Include/ACL00Enums.mqh"",""mql5/ACL00Enums.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00All.mqh,MQL5_INCLUDE,ACL00ReasonCodes.mqh,4,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00ReasonCodes.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00ReasonCodes.mqh"",""ACL00ReasonCodes.mqh"",""mql5/Include/ACL00ReasonCodes.mqh"",""mql5/ACL00ReasonCodes.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00All.mqh,MQL5_INCLUDE,ACL00AuthorityEnvelope.mqh,5,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00AuthorityEnvelope.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00AuthorityEnvelope.mqh"",""ACL00AuthorityEnvelope.mqh"",""mql5/Include/ACL00AuthorityEnvelope.mqh"",""mql5/ACL00AuthorityEnvelope.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00All.mqh,MQL5_INCLUDE,ACL00LifecycleGate.mqh,6,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00LifecycleGate.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00LifecycleGate.mqh"",""ACL00LifecycleGate.mqh"",""mql5/Include/ACL00LifecycleGate.mqh"",""mql5/ACL00LifecycleGate.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00All.mqh,MQL5_INCLUDE,ACL00AuditEnvelope.mqh,7,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00AuditEnvelope.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL00/ACL00AuditEnvelope.mqh"",""ACL00AuditEnvelope.mqh"",""mql5/Include/ACL00AuditEnvelope.mqh"",""mql5/ACL00AuditEnvelope.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01All.mqh,MQL5_INCLUDE,ACL01Enums.mqh,3,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01Enums.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01Enums.mqh"",""ACL01Enums.mqh"",""mql5/Include/ACL01Enums.mqh"",""mql5/ACL01Enums.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01All.mqh,MQL5_INCLUDE,ACL01ArtifactIdentity.mqh,4,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01ArtifactIdentity.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01ArtifactIdentity.mqh"",""ACL01ArtifactIdentity.mqh"",""mql5/Include/ACL01ArtifactIdentity.mqh"",""mql5/ACL01ArtifactIdentity.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01All.mqh,MQL5_INCLUDE,ACL01LocatorEnvelope.mqh,5,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01LocatorEnvelope.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01LocatorEnvelope.mqh"",""ACL01LocatorEnvelope.mqh"",""mql5/Include/ACL01LocatorEnvelope.mqh"",""mql5/ACL01LocatorEnvelope.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01All.mqh,MQL5_INCLUDE,ACL01RegistryEnvelope.mqh,6,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01RegistryEnvelope.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01RegistryEnvelope.mqh"",""ACL01RegistryEnvelope.mqh"",""mql5/Include/ACL01RegistryEnvelope.mqh"",""mql5/ACL01RegistryEnvelope.mqh""]",,false
lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01All.mqh,MQL5_INCLUDE,ACL01CompatibilityEnvelope.mqh,7,RESOLVED_INTERNAL,lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01CompatibilityEnvelope.mqh,"[""lab/11_strategy_factory/mql5/Include/AlphaLab/ACL_OS/ACL01/ACL01CompatibilityEnvelope.mqh"",""ACL01CompatibilityEnvelope.mqh"",""mql5/Include/ACL01CompatibilityEnvelope.mqh"",""mql5/ACL01CompatibilityEnvelope.mqh""]",,false
