path,symbol,kind,public_methods,imports,notes
lab/core/CP0000_market_data/cache/ParquetStore.py,ParquetStore,class,"['save', 'load', 'delete', 'exists']","['os', 'pandas']",Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/connectors/MT5Connector.py,MT5Connector,class,"['connect', 'disconnect', 'fetch']","['datetime:datetime,timedelta', 'difflib', 'MetaTrader5', 'pandas', 'lab.core.CP0000_market_data.exceptions:MT5ConnectionError,SymbolNotFoundError,NoDataError,InvalidTimeframeError', 'lab.core.CP0000_market_data.utils.timeframes:Timeframe']",Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/exceptions.py,MT5ConnectionError,class,[],[],Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/exceptions.py,SymbolNotFoundError,class,[],[],Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/exceptions.py,NoDataError,class,[],[],Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/exceptions.py,InvalidTimeframeError,class,[],[],Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/services/MarketDataEngine.py,MarketDataEngine,class,"['fetch', 'get_df', 'iOpen', 'iClose', 'iHigh', 'iLow', 'iTime', 'iVolume', 'iSpread']","['datetime:datetime,timedelta', 'pandas', 'lab.core.CP0000_market_data.cache.ParquetStore:ParquetStore']",Implicit Python contract; not yet schema-versioned.
lab/core/CP0000_market_data/test.py,print_last_5,function,[],"['lab.core.CP0000_market_data.connectors.MT5Connector:MT5Connector', 'lab.core.CP0000_market_data.services.MarketDataEngine:MarketDataEngine', 'lab.core.CP0000_market_data.utils.timeframes:Timeframe']",Module-level callable; contract status requires review.
lab/core/CP0000_market_data/test.py,run_test,function,[],"['lab.core.CP0000_market_data.connectors.MT5Connector:MT5Connector', 'lab.core.CP0000_market_data.services.MarketDataEngine:MarketDataEngine', 'lab.core.CP0000_market_data.utils.timeframes:Timeframe']",Module-level callable; contract status requires review.
lab/core/CP0000_market_data/utils/timeframes.py,Timeframe,class,[],"['enum:Enum', 'MetaTrader5']",Implicit Python contract; not yet schema-versioned.
lab/core/CP0001_structural_nodes/detectors/L_Rule.py,LRuleNodeDetector,class,"['detect', 'iNode', 'iHighNode', 'iLowNode']","['os', 'pandas']",Implicit Python contract; not yet schema-versioned.
lab/core/CP0001_structural_nodes/detectors/test_L_Rule.py,run_test,function,[],"['lab.core.CP0000_market_data.connectors.MT5Connector:MT5Connector', 'lab.core.CP0000_market_data.services.MarketDataEngine:MarketDataEngine', 'lab.core.CP0000_market_data.utils.timeframes:Timeframe', 'lab.core.CP0001_structural_nodes.detectors.L_Rule:LRuleNodeDetector']",Module-level callable; contract status requires review.
lab/core/CP0001_structural_nodes/metrics/M0001_relative_territory_volatility.py,M0001RTV,class,['compute'],"['os', 'numpy', 'pandas']",Implicit Python contract; not yet schema-versioned.
lab/core/CP0001_structural_nodes/metrics/test_M0001_relative_territory_volatility.py,run_test,function,[],"['lab.core.CP0000_market_data.connectors.MT5Connector:MT5Connector', 'lab.core.CP0000_market_data.services.MarketDataEngine:MarketDataEngine', 'lab.core.CP0000_market_data.utils.timeframes:Timeframe', 'lab.core.CP0001_structural_nodes.detectors.L_Rule:LRuleNodeDetector', 'lab.core.CP0001_structural_nodes.metrics.M0001_relative_territory_volatility:M0001RTV']",Module-level callable; contract status requires review.
