path,extension,size_bytes,line_count,sha256,is_binary,is_empty,category
.pytest_cache/.gitignore,[none],37,2,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,False,False,ephemeral
.pytest_cache/CACHEDIR.TAG,.tag,191,4,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,False,False,ephemeral
.pytest_cache/README.md,.md,302,8,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,False,False,documentation
.pytest_cache/v/cache/lastfailed,[none],167,4,60313b8b5567176c5a2946c176339a4caf5be80503650bf2dda075ff65613b0c,False,False,ephemeral
.pytest_cache/v/cache/nodeids,[none],2,1,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,False,False,ephemeral
CODE_OF_CONDUCT.md,.md,232,9,614bda3a9a08ac4b42a61c9c74edeb3fbb3a0d1a5493fb4792b793f57c83a8a0,False,False,documentation
CONTRIBUTING.md,.md,314,11,8efdbc876c99c49745cfd1a8589167dee03a2fd91ce5bfc6b799e30df2e111e4,False,False,documentation
LICENSE,[none],11558,201,1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6,False,False,other
README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
data/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,generated_or_market_data
docs/architecture.md,.md,586,34,6c97eb16c70babc2ee41c6d7d968e10e397e045e1ffa27373705c0274faed46d,False,False,documentation
docs/glossary.md,.md,478,19,5e48c5ee299b5fd02d3e8e854796b480f22081245232d262e6670806279f98cf,False,False,documentation
docs/laboratory_architecture.md,.md,7087,450,dc54902b9eb1b6ec0fd6f4a9c1a38b318faa6918b710c18381af086f6dafbee3,False,False,documentation
docs/manifesto.md,.md,567,16,520d323b2c55e86e1a6c6604043d6b4f4c63578572f89d64835cf0a1f87123de,False,False,documentation
docs/principles.md,.md,416,10,97607f80b885b10820aeb095efc04a8e4fd3df33fdabddd7cab41b68959f706d,False,False,documentation
docs/research-roadmap.md,.md,734,31,a89368fb3dd9e92cab75ba468719807ad67cda8457d2101f39f41f4f57be1c70,False,False,documentation
lab/01_observation/OBS0001_structural_highs_lows_importance.md,.md,2301,54,a207a9b219a5643198d606fae554b2238e61caf2413503d2141576bf68daea2f,False,False,documentation
lab/02_hypotheses/H0001_structural_highs_lows_as_decision_nodes.md,.md,4746,172,669e9f134e99d73eac1e1a08544c2fe860add87a713fc80f2a24e72bad5d6bab,False,False,documentation
lab/02_hypotheses/H0002_structural_node_revisitation.md,.md,8005,346,9adbd74f6da052296c348f12a300a921bcd59ca45a7a84c4e33de4e6cc7e48e0,False,False,documentation
lab/03_experiments/EXP0000_sample/experiment.py,.py,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,python_source
lab/03_experiments/EXP0000_sample/metadata.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
lab/03_experiments/EXP0000_sample/report.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/03_experiments/EXP0001_structural_highs_lows_importance/experiment.py,.py,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,python_source
lab/03_experiments/EXP0001_structural_highs_lows_importance/metadata.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
lab/03_experiments/EXP0001_structural_highs_lows_importance/report.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/04_analysis/ANL001/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/04_analysis/ANL001/notes.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/05_validation/VAL001/metadata.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
lab/05_validation/VAL001/report.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/06_production/SIG001/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/06_production/SIG001/metadata.yaml,.yaml,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,registry_or_config
lab/07_monitoring/MON001/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/07_monitoring/MON001/metrics.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/08_archive/failed_experiments/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/08_archive/rejected_hypotheses/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/08_archive/retired_signals/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/09_execution/bridge/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/09_execution/logging/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/09_execution/mql5/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/10_infrastructure/ci/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/10_infrastructure/config/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/10_infrastructure/data/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/10_infrastructure/tests/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/10_infrastructure/utils/README.md,.md,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,True,documentation
lab/cache_data/#US30/M1/#US30_M1.parquet,.parquet,120596,,77266469084b96f44ed257e09ffe7a941adc0d27ffe673f93a627def6ea7bc8b,True,False,generated_or_market_data
lab/cache_data/#US30/M15/#US30_M15.parquet,.parquet,175626,,fb001db95e9a3252bc0f2403e125c1e5933732f567a7ce5797b08173669e550c,True,False,generated_or_market_data
lab/cache_data/GOLD/M1/GOLD_M1.parquet,.parquet,168326,,ffd082ba38285d14ca9c110d32d05f43e2e42ffff8c75d01af1e8d77ccb4a593,True,False,generated_or_market_data
lab/cache_data/GOLD/M15/GOLD_M15.parquet,.parquet,207030,,30a45e6b68cc840fed59446c190d8ebc614865f48e868f2f3727853e219787f2,True,False,generated_or_market_data
lab/cache_data/GOLD/M15/data.parquet,.parquet,25341,,01874052a7a98e4ba2e94aaf62f7543e99183932c7021b1c9bcee217a951841c,True,False,generated_or_market_data
lab/cache_metrics/M0001_relative_territory_volatility/#US30/M1/#US30_M1_T0.9_G6_hunt.parquet,.parquet,120128,,75089411ef675958128e156c8e071b08ece2db77f750b6d6ee737b3fa1eff877,True,False,generated_or_market_data
lab/cache_metrics/M0001_relative_territory_volatility/#US30/M15/#US30_M15_T0.9_G6_hunt.parquet,.parquet,131472,,168a113e4a07c7c4f8a3aff4b7a10a54ce2c795236ce7e5e7f2be5305308ba61,True,False,generated_or_market_data
lab/cache_metrics/M0001_relative_territory_volatility/GOLD/M1/GOLD_M1_T0.8_G3_hunt.parquet,.parquet,87135,,d29b56a2d6f48fb218526fe0fd8ecabb2ee7ed386378886720e38ca0a81abf11,True,False,generated_or_market_data
lab/cache_metrics/M0001_relative_territory_volatility/GOLD/M1/GOLD_M1_T0.9_G3_hunt.parquet,.parquet,151817,,b2f5def7810da7f2381b8ceb8f629ebd98060c0e726bb6d89fcfe5605bf34955,True,False,generated_or_market_data
